Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,COMMENT_OBS,Value
2018,A,0,C,A,N,_L_KG_010101_1A,KG02,,PT,,0.892297
2019,A,0,C,A,N,_L_KG_010101_1A,KG02,,PT,,1.260497
2010,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,12.036462
2011,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,14.690827
2012,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,2.457117
2013,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,4.860417
2014,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,1.817409
2015,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,2.0588
2016,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,2.566585
2017,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,1.953766
2018,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,2.178191
2019,A,0,C,A,N,_L_KG_010101_1A,KG04,,PT,,2.481629
2010,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,including Osh city,8.333149
2011,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,including Osh city,3.687421
2012,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,including Osh city,2.296706
2013,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,including Osh city,4.01137
2014,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,0.423402
2015,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,1.1879
2016,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,0.828248
2017,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,0.0
2018,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,0.0
2019,A,0,C,A,N,_L_KG_010101_1A,KG06,,PT,,0.880799
2010,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,5.012294
2011,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,8.439018
2012,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.904811
2013,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2014,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2015,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2016,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2017,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2018,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2019,A,0,C,A,N,_L_KG_010101_1A,KG07,,PT,,0.0
2010,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,3.535313
2011,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,4.859951
2012,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,3.894563
2013,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,2.081097
2014,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,3.192789
2015,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,1.6887
2016,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,3.126337
2017,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,1.687071
2018,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,0.324149
2019,A,0,C,A,N,_L_KG_010101_1A,KG08,,PT,,0.162602
2010,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.530925
2011,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,1.019328
2012,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,1.168471
2013,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.960053
2014,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.0
2015,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.7844
2016,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.0
2017,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.0
2018,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.328121
2019,A,0,C,A,N,_L_KG_010101_1A,KG11,,PT,,0.0
2013,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,3.507063
2014,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,3.102029
2015,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,1.7009
2016,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,0.0
2017,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,1.181299
2018,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,0.556108
2019,A,0,C,A,N,_L_KG_010101_1A,KG21,,PT,,0.0
