Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_5,,NUMBER,1035
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_5,,NUMBER,1223
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_5,,NUMBER,1177
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,1101
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,795
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,1072
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,1647
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,1588
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,1839
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,2195
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,4436
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,4793
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,4228
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,ISCED11_3,,NUMBER,3381
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,74
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,167
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,58
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,4
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,7
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,42
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,140
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,208
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,260
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,224
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_EDU_OTH,NUMBER,452
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,533
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,560
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,493
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,478
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,383
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,464
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,646
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,1658
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,1516
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,1818
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_WORK,NUMBER,1178
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1384
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1106
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1232
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1814
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1810
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,1916
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,2428
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,4906
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,5164
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,4681
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_NOWORK,NUMBER,4290
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,82
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,30
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,14
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,36
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,61
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,95
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,94
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,74
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,120
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,364
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_STUDENT,NUMBER,318
2009,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,94
2010,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,93
2011,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,70
2012,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,87
2013,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,85
2014,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,143
2015,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,165
2016,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,367
2017,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,523
2018,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,315
2019,A,0,C,A,N,_L_KG_050201_1B,KG,,,,_L_ACS_RETIRED,NUMBER,359
