Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2018,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,95.8
2019,A,0,C,A,N,SH_ACS_DTP3,KG06,PT,99.33564
2007,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,94.0
2008,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,94.8
2009,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,94.6
2010,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,96.8
2011,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,95.3
2012,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,96.0
2013,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,96.2
2014,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,93.4
2015,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,96.8
2016,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,95.2
2017,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,93.1
2018,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,95.3
2019,A,0,C,A,N,SH_ACS_DTP3,KG07,PT,92.698706
2007,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,94.0
2008,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,95.5
2009,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,95.5
2010,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,96.3
2011,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,96.8
2012,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,97.6
2013,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,96.3
2014,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,96.0
2015,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,97.0
2016,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,97.5
2017,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,91.8
2018,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,92.5
2019,A,0,C,A,N,SH_ACS_DTP3,KG08,PT,91.652622
2007,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,95.0
2008,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,94.9
2009,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,95.5
2010,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,96.8
2011,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,96.4
2012,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,97.2
2013,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,96.6
2014,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,93.7
2015,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,94.0
2016,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,90.5
2017,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,86.5
2018,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,90.3
2019,A,0,C,A,N,SH_ACS_DTP3,KG11,PT,92.018905
2007,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.2
2008,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,96.7
2009,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.4
2010,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.7
2011,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,95.2
2012,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,98.5
2013,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,99.2
2014,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,96.0
2015,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,97.6
2016,A,0,C,A,N,SH_ACS_DTP3,KG21,PT,96.7
