Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,14.3
2014,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,15.4
2015,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,12.1
2016,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,14.3
2017,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,9.9
2018,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,9.9
2019,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_MAMM,PT,4.4
2013,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,2.0
2014,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,3.7
2015,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,3.7
2016,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,2.2
2017,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,2.7
2018,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,2.5
2019,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_BIRD,PT,1.72
2013,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_AMPH_REP,PT,8.7
2015,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_AMPH_REP,PT,2.2
2016,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_AMPH_REP,PT,2.2
2018,A,0,C,A,N,_L_KG_150701_1,KG,_L_SPC_AMPH_REP,PT,2.2
