Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_PRR_PHYV,KG,F,Y15T49,,PT,29.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_PRR_PHYV,KG,F,Y15T49,U,PT,38.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_PRR_PHYV,KG,F,Y15T49,R,PT,22.4
