Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,Y15T28,,,,PT,77.1
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,Y15T28,,,,PT,81.3
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,Y15T28,,,,PT,74.3
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,Y15T28,,,,PT,75.9
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,Y29T62,,,,PT,76.8
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,Y29T62,,,,PT,79.6
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,Y29T62,,,,PT,76.5
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,Y29T62,,,,PT,77.4
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,Y_GE58,,,,PT,76.8
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,Y_GE58,,,,PT,80.9
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,Y_GE58,,,,PT,75.8
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,Y_GE58,,,,PT,74.9
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_1,PT,75.2
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_1,PT,78.3
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_1,PT,75.1
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_1,PT,75.1
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_2,PT,80.2
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_2,PT,79.0
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_2,PT,76.5
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_2,PT,77.3
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_3,PT,75.0
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_3,PT,78.4
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_3,PT,72.1
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_3,PT,74.1
2016,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_4,PT,78.4
2017,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_4,PT,83.9
2018,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_4,PT,80.2
2019,A,0,C,A,N,EG_ACS_ELEC,KG,,,,,ISCED11_4,PT,79.0
