Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_SICK,NUMBER,36
2017,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_SICK,NUMBER,20
2018,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_SICK,NUMBER,31
2019,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_SICK,NUMBER,27
2005,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,658
2006,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,585
2007,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,535
2008,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,349
2009,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,391
2010,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,393
2011,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,515
2012,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,410
2013,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,531
2014,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,554
2015,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,564
2016,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,542
2017,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,517
2018,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,525
2019,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_DISAB,NUMBER,615
2005,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,64
2006,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,108
2007,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,111
2008,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,67
2009,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,111
2010,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,154
2011,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,133
2012,A,0,C,A,N,_L_KG_040101_1A,KG,F,Y7T17,_L_CSE_OTHER,NUMBER,158
