Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,115.478276
2008,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,106.340082
2009,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,103.932976
2010,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,101.138775
2011,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,100.367124
2012,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,104.342194
2013,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,102.43272
2014,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,101.065558
2015,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,98.249685
2016,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,93.423511
2017,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,90.6
2018,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,83.012882
2019,A,0,C,A,N,SH_TBS_INCD,KG,,PER_100000_POP,78.928029
2007,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,91.061332
2008,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,85.809103
2009,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,85.417204
2010,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,84.9
2011,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,81.94725
2012,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,85.223608
2013,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,87.8
2014,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,88.7
2015,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,83.7
2016,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,81.7
2017,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,77.7
2018,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,69.02199
2019,A,0,C,A,N,SH_TBS_INCD,KG,F,PER_100000_POP,66.863517
2007,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,140.46199
2008,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,127.338423
2009,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,122.936319
2010,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,117.8
2011,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,119.256007
2012,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,123.922984
2013,A,0,C,A,N,SH_TBS_INCD,KG,M,PER_100000_POP,117.4
