Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,51.9
2008,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,55.0
2009,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,63.5
2010,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,51.3
2011,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,54.8
2012,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,49.1
2013,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,36.0
2014,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,50.1
2015,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,38.5
2016,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,30.3
2017,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,31.9
2018,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,28.6
2019,A,0,C,A,N,SH_STA_MORT,KG,F,PER_100000_LIVE_BIRTHS,24.8
2007,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,74.8
2008,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,66.6
2009,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,41.7
2010,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,59.7
2011,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,66.9
2012,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,43.5
2013,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,42.0
2014,A,0,C,A,N,SH_STA_MORT,KG05,F,PER_100000_LIVE_BIRTHS,108.7
