Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2014,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,378
2015,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,336
2016,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,351
2017,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,234
2018,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,342
2019,A,0,C,A,N,_L_KG_160501_1B1,KG,,NUMBER,242
2014,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,62
2015,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,69
2016,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,72
2017,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,52
2018,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,56
2019,A,0,C,A,N,_L_KG_160501_1B2,KG,,NUMBER,79
2014,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,323
2015,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,278
2016,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,286
2017,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,196
2018,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,297
2019,A,0,C,A,N,_L_KG_160501_1B1,KG,M,NUMBER,210
2014,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,57
2015,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,65
2016,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,61
2017,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,44
2018,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,53
2019,A,0,C,A,N,_L_KG_160501_1B2,KG,M,NUMBER,68
2014,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,55
2015,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,58
2016,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,65
2017,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,38
2018,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,45
2019,A,0,C,A,N,_L_KG_160501_1B1,KG,F,NUMBER,32
2014,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,5
2015,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,4
2016,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,11
2017,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,8
2018,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,3
2019,A,0,C,A,N,_L_KG_160501_1B2,KG,F,NUMBER,11
