Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,145.4
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,1235.9
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,74.6
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,516.9
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,939.9
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,924.9
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,220.6
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,455.7
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,2290.6
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,1006.2
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,1027.4
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,1214.6
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG,CUR_LCU,323.8
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,17.8
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,130.4
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,25.4
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,26.2
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,551.4
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,267.9
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,4.5
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,41.6
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,588.8
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,376.3
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,135.0
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,189.8
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG05,CUR_LCU,22.9
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,66.7
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,31.0
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,3.7
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,305.9
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,148.6
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,375.2
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,38.0
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,31.2
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,85.1
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,232.3
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,120.1
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,72.9
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG03,CUR_LCU,168.8
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,0.5
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,0.7
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,9.5
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,0.6
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,5.3
2012,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,40.4
2013,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,75.2
2014,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,356.3
2015,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,7.7
2016,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,102.7
2017,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,84.2
2018,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,74.2
2019,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG02,CUR_LCU,11.1
2007,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,0.6
2008,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,2.8
2009,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,0.6
2010,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,120.1
2011,A,0,C,according to the MES KR,A,N,VC_DSR_GDPLS,KG04,CUR_LCU,121.0
