Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_PLANT_MUSH,PT,1.07
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.3
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_MAMM,PT,25.27
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_BIRD,PT,14.0
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_INSEC,PT,0.12
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.7
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_AMPH_REP,PT,21.74
2013,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2014,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2015,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2016,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2017,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2018,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.5
2019,A,0,C,A,N,_L_KG_150501_1,KG,_L_SPC_FISH,PT,9.46
