Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,118.553298
2015,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,93.999692
2016,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,94.914537
2017,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,109.47206
2018,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,96.104604
2019,A,0,C,A,N,_L_KG_020C01_1B,KG06,PT,107.312397
2007,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,131.559431
2008,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,117.520012
2009,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,90.950636
2010,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,123.024848
2011,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,105.793162
2012,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,102.033354
2013,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,100.612627
2014,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,116.089417
2015,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,93.146935
2016,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,92.497165
2017,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,104.166923
2018,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,96.802565
2019,A,0,C,A,N,_L_KG_020C01_1B,KG07,PT,106.172057
2007,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,130.314372
2008,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,123.411415
2009,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,94.365695
2010,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,128.672851
2011,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,102.493938
2012,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,103.92528
2013,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,102.312574
2014,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,114.643974
2015,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,95.710818
2016,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,95.89276
2017,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,102.559508
2018,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,96.302209
2019,A,0,C,A,N,_L_KG_020C01_1B,KG08,PT,105.8531
