Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2012,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,158.7
2013,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,90.9
2014,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,109.3
2015,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,107.2
2016,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,150.8
2017,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,134.6
2018,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,245.1
2019,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_VET,CUR_LCU,169.4
2010,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,72.3
2011,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,50.0
2012,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,29.3
2013,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,43.9
2014,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,42.5
2015,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,60.1
2016,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,88.8
2017,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,85.9
2018,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,132.2
2019,A,6,C,A,N,_L_KG_150B01_1,KG,_L_EEX_CHARPLN,CUR_LCU,131.5
