Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,25.6
2008,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,25.6
2009,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,25.6
2010,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,23.5
2011,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,20.8
2012,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,20.8
2013,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,22.5
2014,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,21.7
2015,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,21.7
2016,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,15.8
2017,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,16.7
2018,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,15.8
2019,A,0,C,A,N,SG_GEN_PARL,KG,F,PT,16.7
