Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,DT_TDS_DECT,KG,PT,4.0
2008,A,0,C,A,N,DT_TDS_DECT,KG,PT,4.6
2009,A,0,C,A,N,DT_TDS_DECT,KG,PT,6.9
2010,A,0,C,A,N,DT_TDS_DECT,KG,PT,6.8
2011,A,0,C,A,N,DT_TDS_DECT,KG,PT,6.2
2012,A,0,C,A,N,DT_TDS_DECT,KG,PT,6.7
2013,A,0,C,A,N,DT_TDS_DECT,KG,PT,7.2
2014,A,0,C,A,N,DT_TDS_DECT,KG,PT,6.8
2015,A,0,C,A,N,DT_TDS_DECT,KG,PT,7.6
2016,A,0,C,A,N,DT_TDS_DECT,KG,PT,12.2
2017,A,0,C,A,N,DT_TDS_DECT,KG,PT,11.3
2018,A,0,C,A,N,DT_TDS_DECT,KG,PT,13.0
