Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,UNIT_MEASURE,Value
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,,,,PT,22.971916
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,,,,PT,18.3
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,,,,PT,18.0
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,,,,PT,15.5
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,,,,PT,13.2
2015,A,0,C,A,N,_L_KG_010201_1A,KG,M,,,,PT,24.625381
2016,A,0,C,A,N,_L_KG_010201_1A,KG,M,,,,PT,19.7
2017,A,0,C,A,N,_L_KG_010201_1A,KG,M,,,,PT,20.0
2018,A,0,C,A,N,_L_KG_010201_1A,KG,M,,,,PT,16.6
2019,A,0,C,A,N,_L_KG_010201_1A,KG,M,,,,PT,14.9
2015,A,0,C,A,N,_L_KG_010201_1A,KG,F,,,,PT,20.568799
2016,A,0,C,A,N,_L_KG_010201_1A,KG,F,,,,PT,16.0
2017,A,0,C,A,N,_L_KG_010201_1A,KG,F,,,,PT,14.8
2018,A,0,C,A,N,_L_KG_010201_1A,KG,F,,,,PT,13.6
2019,A,0,C,A,N,_L_KG_010201_1A,KG,F,,,,PT,10.5
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y15T19,,,PT,23.727492
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y15T19,,,PT,18.981762
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y15T19,,,PT,14.748617
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y15T19,,,PT,12.569312
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y15T19,,,PT,6.6
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y20T24,,,PT,19.900404
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y20T24,,,PT,18.030501
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y20T24,,,PT,13.948053
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y20T24,,,PT,10.713886
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y20T24,,,PT,8.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y25T29,,,PT,20.936837
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y25T29,,,PT,17.480642
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y25T29,,,PT,18.451453
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y25T29,,,PT,15.81122
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y25T29,,,PT,11.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y30T34,,,PT,31.941974
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y30T34,,,PT,22.514499
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y30T34,,,PT,22.859646
2018,A,0,C,A,N,_L_KG_010201_1A,KG,,Y30T34,,,PT,18.364477
2019,A,0,C,A,N,_L_KG_010201_1A,KG,,Y30T34,,,PT,17.1
2015,A,0,C,A,N,_L_KG_010201_1A,KG,,Y35T39,,,PT,33.358438
2016,A,0,C,A,N,_L_KG_010201_1A,KG,,Y35T39,,,PT,27.556783
2017,A,0,C,A,N,_L_KG_010201_1A,KG,,Y35T39,,,PT,26.449237
