Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2007,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,29.5
2008,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,30.1
2009,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,31.2
2010,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,34.1
2011,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,41.4
2012,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,42.1
2013,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,41.9
2014,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,43.3
2015,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,42.3
2016,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,38.1
2017,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,33.9
2018,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,35.9
2019,A,0,C,A,N,SP_DYN_ADKL,KG,F,Y15T19,PER_1000_POP,37.7
2007,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,25.4
2008,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,27.2
2009,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,30.6
2010,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,36.1
2011,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,40.2
2012,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,44.6
2013,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,43.2
2014,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,43.3
2015,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,38.4
2016,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,36.5
2017,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,31.2
2018,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,30.2
2019,A,0,C,A,N,SP_DYN_ADKL,KG05,F,Y15T19,PER_1000_POP,35.7
2007,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,30.1
2008,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,33.0
2009,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,36.8
2010,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,38.8
2011,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,47.6
2012,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,45.3
2013,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,44.8
2014,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,47.7
2015,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,53.5
2016,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,39.3
2017,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,34.7
2018,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,36.2
2019,A,0,C,A,N,SP_DYN_ADKL,KG03,F,Y15T19,PER_1000_POP,38.0
2007,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,27.5
2008,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,27.7
2009,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,30.0
2010,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,30.2
2011,A,0,C,A,N,SP_DYN_ADKL,KG02,F,Y15T19,PER_1000_POP,31.8
