Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_150201_1,KG,KG,1037.0
2014,A,0,C,A,N,_L_KG_150201_1,KG,KG,778.0
2015,A,0,C,A,N,_L_KG_150201_1,KG,KG,507.0
2016,A,0,C,A,N,_L_KG_150201_1,KG,KG,616.0
2017,A,0,C,A,N,_L_KG_150201_1,KG,KG,490.0
2018,A,0,C,A,N,_L_KG_150201_1,KG,KG,400.0
2019,A,0,C,A,N,_L_KG_150201_1,KG,KG,412.0
2013,A,0,C,A,N,AG_LND_FRSTBIOPHA,KG,KG,26.7
2013,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.7
2014,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.7
2015,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.7
2016,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.7
2017,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.7
2018,A,0,C,A,N,AG_LND_FRSTPRCT,KG,KG,5.8
2013,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,74.6
2014,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,76.4
2015,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,78.0
2016,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,79.6
2017,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,81.3
2018,A,0,C,A,N,AG_LND_FRSTMGT,KG,KG,82.6
