Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2010,A,0,C,A,N,NV_IND_TECH,KG,PT,4.004914
2011,A,0,C,A,N,NV_IND_TECH,KG,PT,2.513823
2012,A,0,C,A,N,NV_IND_TECH,KG,PT,5.205147
2013,A,0,C,A,N,NV_IND_TECH,KG,PT,3.503327
2014,A,0,C,A,N,NV_IND_TECH,KG,PT,4.079201
2015,A,0,C,A,N,NV_IND_TECH,KG,PT,2.863107
2016,A,0,C,A,N,NV_IND_TECH,KG,PT,2.262054
2017,A,0,C,A,N,NV_IND_TECH,KG,PT,2.558413
2018,A,0,C,A,N,NV_IND_TECH,KG,PT,1.934557
2019,A,0,C,A,N,NV_IND_TECH,KG,PT,2.1
