Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,35.3
2008,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,31.5
2009,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,29.3
2010,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,26.5
2011,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,24.5
2012,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,23.4
2013,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,23.29
2014,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,23.14
2015,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,21.46
2016,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,19.8
2017,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,18.5
2018,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,17.6
2019,A,0,C,A,N,SH_DYN_MORT,KG,Y0T4,PER_1000_LIVE_BIRTHS,17.5
2007,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,40.3
2008,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,39.7
2009,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,33.7
2010,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,34.34
2011,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,28.7
2012,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,25.9
2013,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,25.75
2014,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,23.61
2015,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,21.75
2016,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,18.8
2017,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,18.6
2018,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,14.9
2019,A,0,C,A,N,SH_DYN_MORT,KG05,Y0T4,PER_1000_LIVE_BIRTHS,17.7
2007,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,30.8
2008,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,26.2
2009,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,24.5
2010,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,21.87
2011,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,20.7
2012,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,19.8
2013,A,0,C,A,N,SH_DYN_MORT,KG03,Y0T4,PER_1000_LIVE_BIRTHS,20.95
