Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,Value
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,9583.2
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,11594.8
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,9506.6
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,12216.2
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,10322.0
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,13090.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,11022.6
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,13740.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,11949.9
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,15076.2
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,12736.5
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,15802.1
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,13704.7
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,16711.7
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_C,CUR_LCU,15161.0
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_C,CUR_LCU,17658.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,14160.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,15121.5
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,18564.4
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,18018.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,17006.4
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,17317.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,19774.7
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,19512.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,22865.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,23517.5
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,23702.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,24212.7
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,24394.9
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,24266.4
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,24855.0
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,26772.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_D,CUR_LCU,28936.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_D,CUR_LCU,29039.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,7097.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,8512.1
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,7874.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,9348.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,8309.5
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,10479.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,8752.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,12181.5
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,9335.7
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,11772.3
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,10668.2
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,12166.8
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,11217.0
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,13276.3
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,11809.7
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,14015.9
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_E,CUR_LCU,14491.6
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_E,CUR_LCU,14979.6
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,7461.7
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,9692.9
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,8708.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,10047.4
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,10101.0
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,10554.2
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,8990.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,11811.2
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,8991.5
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,11689.2
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,11706.6
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,14730.1
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,14489.9
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,16612.5
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,13824.4
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,16640.2
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_F,CUR_LCU,15478.4
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_F,CUR_LCU,20339.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,10848.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,13252.0
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,10912.9
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,14999.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,11559.5
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,15591.8
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,13767.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,17200.5
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,12455.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,15170.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_G,CUR_LCU,14647.7
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_G,CUR_LCU,17360.8
