Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,Value
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,13580.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,11667.4
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,13768.2
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,6571.7
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,9048.7
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,8196.1
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,10650.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,11594.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,13047.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,11765.2
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,14003.1
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,11975.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,14265.1
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,12925.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,15570.6
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,14505.9
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,17176.2
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,15652.5
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,18079.9
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_O,CUR_LCU,15487.8
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_O,CUR_LCU,17500.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,7361.5
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,8726.2
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,7317.6
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,8140.4
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,7214.6
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,8411.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,7681.8
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,8499.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,9970.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,10479.7
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,10536.7
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,10653.3
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,10748.5
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,11155.5
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,10691.4
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,11006.4
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_P,CUR_LCU,13319.0
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_P,CUR_LCU,13163.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,9256.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9584.5
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,8892.0
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9914.5
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,8994.9
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,8690.3
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,8966.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9027.6
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,9394.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9319.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,9771.3
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9519.9
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,9927.4
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9677.7
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,10481.8
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,9584.5
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_Q,CUR_LCU,11152.8
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_Q,CUR_LCU,10385.1
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,6350.6
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,7746.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,6399.4
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,6702.8
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,7565.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8250.6
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,7696.6
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8975.0
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,8553.4
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,9292.3
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,8752.3
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8221.4
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,8451.0
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8179.0
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,8799.2
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8061.2
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_R,CUR_LCU,8886.7
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_R,CUR_LCU,8964.4
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,8458.9
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,8192.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,8608.0
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,8232.4
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,9771.5
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,9269.2
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,11030.5
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,10565.2
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,12707.0
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,12664.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,15307.4
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,14474.7
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,18606.6
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,19061.7
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,17807.6
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,11649.5
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_S,CUR_LCU,18437.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_S,CUR_LCU,12252.4
