Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,EDUCATION_LEV,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,9.0
2013,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,9.4
2014,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,9.3
2015,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,9.5
2016,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,10.4
2017,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,10.9
2018,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,10.1
2019,A,0,C,A,N,_L_KG_040301_1,KG,,Y15T17,AGG_3_4,PT,10.0
2010,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,5.4
2013,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,6.0
2014,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,5.6
2015,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,5.8
2016,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,6.3
2017,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,6.9
2018,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,6.2
2019,A,0,C,A,N,_L_KG_040301_1,KG,F,Y15T17,AGG_3_4,PT,6.2
2010,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,12.5
2013,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,12.6
2014,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,12.9
2015,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,13.1
2016,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,14.3
2017,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,14.7
2018,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,13.9
2019,A,0,C,A,N,_L_KG_040301_1,KG,M,Y15T17,AGG_3_4,PT,13.7
2010,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,13.6
2013,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,20.3
2014,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,21.8
2015,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,21.1
2016,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,22.0
2017,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,22.8
2018,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,23.1
2019,A,0,C,A,N,_L_KG_040301_1,KG,,Y17T20,ISCED11_5,PT,23.1
2010,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,16.0
2013,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,23.8
2014,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,24.3
2015,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,24.2
2016,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,25.2
2017,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,26.4
2018,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,26.4
2019,A,0,C,A,N,_L_KG_040301_1,KG,F,Y17T20,ISCED11_5,PT,26.5
2010,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,11.2
2013,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,16.8
2014,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,18.0
2015,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,18.0
2016,A,0,C,A,N,_L_KG_040301_1,KG,M,Y17T20,ISCED11_5,PT,18.8
