Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,Value
2015,A,0,C,A,N,_L_KG_100201_1,KG,,,,,PT,3390.2
2016,A,0,C,A,N,_L_KG_100201_1,KG,,,,,PT,3572.5
2017,A,0,C,A,N,_L_KG_100201_1,KG,,,,,PT,3991.9
2018,A,0,C,A,N,_L_KG_100201_1,KG,,,,,PT,4466.4
2019,A,0,C,A,N,_L_KG_100201_1,KG,,,,,PT,4774.2
2015,A,0,C,A,N,SI_POV_50MI,KG,,,,B50,PT,12.0
2016,A,0,C,A,N,SI_POV_50MI,KG,,,,B50,PT,11.6
2017,A,0,C,A,N,SI_POV_50MI,KG,,,,B50,PT,11.0
2018,A,0,C,A,N,SI_POV_50MI,KG,,,,B50,PT,11.9
2019,A,0,C,A,N,SI_POV_50MI,KG,,,,B50,PT,11.1
2015,A,0,C,A,N,SI_POV_50MI,KG,,,U,B50,PT,8.2
2016,A,0,C,A,N,SI_POV_50MI,KG,,,U,B50,PT,8.5
2017,A,0,C,A,N,SI_POV_50MI,KG,,,U,B50,PT,7.9
2018,A,0,C,A,N,SI_POV_50MI,KG,,,U,B50,PT,8.1
2019,A,0,C,A,N,SI_POV_50MI,KG,,,U,B50,PT,8.7
2015,A,0,C,A,N,SI_POV_50MI,KG,,,R,B50,PT,14.1
2016,A,0,C,A,N,SI_POV_50MI,KG,,,R,B50,PT,13.3
2017,A,0,C,A,N,SI_POV_50MI,KG,,,R,B50,PT,12.7
2018,A,0,C,A,N,SI_POV_50MI,KG,,,R,B50,PT,14.0
2019,A,0,C,A,N,SI_POV_50MI,KG,,,R,B50,PT,12.5
2015,A,0,C,A,N,SI_POV_50MI,KG,F,,,B50,PT,11.7
2016,A,0,C,A,N,SI_POV_50MI,KG,F,,,B50,PT,11.4
2017,A,0,C,A,N,SI_POV_50MI,KG,F,,,B50,PT,10.9
2018,A,0,C,A,N,SI_POV_50MI,KG,F,,,B50,PT,11.8
2019,A,0,C,A,N,SI_POV_50MI,KG,F,,,B50,PT,11.0
2015,A,0,C,A,N,SI_POV_50MI,KG,M,,,B50,PT,12.3
2016,A,0,C,A,N,SI_POV_50MI,KG,M,,,B50,PT,11.9
2017,A,0,C,A,N,SI_POV_50MI,KG,M,,,B50,PT,11.2
2018,A,0,C,A,N,SI_POV_50MI,KG,M,,,B50,PT,12.0
2019,A,0,C,A,N,SI_POV_50MI,KG,M,,,B50,PT,11.2
2015,A,0,C,A,N,SI_POV_50MI,KG,,Y0T17,,B50,PT,19.5
2016,A,0,C,A,N,SI_POV_50MI,KG,,Y0T17,,B50,PT,17.6
2017,A,0,C,A,N,SI_POV_50MI,KG,,Y0T17,,B50,PT,17.4
2018,A,0,C,A,N,SI_POV_50MI,KG,,Y0T17,,B50,PT,18.5
2019,A,0,C,A,N,SI_POV_50MI,KG,,Y0T17,,B50,PT,17.6
2015,A,0,C,A,N,SI_POV_50MI,KG,,Y14T28,,B50,PT,12.1
2016,A,0,C,A,N,SI_POV_50MI,KG,,Y14T28,,B50,PT,12.5
2017,A,0,C,A,N,SI_POV_50MI,KG,,Y14T28,,B50,PT,11.4
2018,A,0,C,A,N,SI_POV_50MI,KG,,Y14T28,,B50,PT,13.5
2019,A,0,C,A,N,SI_POV_50MI,KG,,Y14T28,,B50,PT,10.7
2015,A,0,C,A,N,SI_POV_50MI,KG,,Y16T62,,B50,PT,12.3
2016,A,0,C,A,N,SI_POV_50MI,KG,,Y16T62,,B50,PT,12.6
2017,A,0,C,A,N,SI_POV_50MI,KG,,Y16T62,,B50,PT,11.7
2018,A,0,C,A,N,SI_POV_50MI,KG,,Y16T62,,B50,PT,12.2
2019,A,0,C,A,N,SI_POV_50MI,KG,,Y16T62,,B50,PT,11.0
2015,A,0,C,A,N,SI_POV_50MI,KG,,Y_GE58,,B50,PT,7.8
2016,A,0,C,A,N,SI_POV_50MI,KG,,Y_GE58,,B50,PT,7.8
2017,A,0,C,A,N,SI_POV_50MI,KG,,Y_GE58,,B50,PT,7.5
2018,A,0,C,A,N,SI_POV_50MI,KG,,Y_GE58,,B50,PT,8.4
2019,A,0,C,A,N,SI_POV_50MI,KG,,Y_GE58,,B50,PT,8.8
2015,A,0,C,A,N,SI_POV_50MI,KG05,,,,B50,PT,9.4
2016,A,0,C,A,N,SI_POV_50MI,KG05,,,,B50,PT,12.2
2017,A,0,C,A,N,SI_POV_50MI,KG05,,,,B50,PT,17.0
