Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,15
2008,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,19
2009,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,13
2010,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,9
2011,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,10
2012,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,11
2013,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,8
2014,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,8
2015,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,7
2016,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,8
2017,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,8
2018,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,8
2019,A,0,C,A,N,_L_KG_030901_1,KG,,PER_100000_POP,9
2007,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,9
2008,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,14
2009,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,8
2010,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,6
2011,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,4
2012,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,7
2013,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,5
2014,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,3
2015,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,3
2016,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,4
2017,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,4
2018,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,5
2019,A,0,C,A,N,_L_KG_030901_1,KG,F,PER_100000_POP,5
2007,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,22
2008,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,24
2009,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,18
2010,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,12
2011,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,16
2012,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,16
2013,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,12
2014,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,13
2015,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,12
2016,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,11
2017,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,12
2018,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,11
2019,A,0,C,A,N,_L_KG_030901_1,KG,M,PER_100000_POP,13
2007,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,9
2008,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,2
2009,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,16
2011,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,4
2013,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,6
2014,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,2
2015,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,16
2016,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,2
2017,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,16
2018,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,8
2019,A,0,C,A,N,_L_KG_030901_1,KG05,,PER_100000_POP,32
2009,A,0,C,A,N,_L_KG_030901_1,KG05,F,PER_100000_POP,9
2013,A,0,C,A,N,_L_KG_030901_1,KG05,F,PER_100000_POP,9
2017,A,0,C,A,N,_L_KG_030901_1,KG05,F,PER_100000_POP,4
2018,A,0,C,A,N,_L_KG_030901_1,KG05,F,PER_100000_POP,8
2019,A,0,C,A,N,_L_KG_030901_1,KG05,F,PER_100000_POP,19
2007,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,19
2008,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,5
2009,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,23
2011,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,9
2013,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,4
2014,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,4
2015,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,32
2016,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,4
2017,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,27
2018,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,8
2019,A,0,C,A,N,_L_KG_030901_1,KG05,M,PER_100000_POP,44
2007,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,2
2008,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,2
2009,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,9
2010,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,6
2011,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,3
2012,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,5
2015,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,1
2016,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,1
2017,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,5
2019,A,0,C,A,N,_L_KG_030901_1,KG03,,PER_100000_POP,4
2009,A,0,C,A,N,_L_KG_030901_1,KG03,F,PER_100000_POP,8
2010,A,0,C,A,N,_L_KG_030901_1,KG03,F,PER_100000_POP,6
2012,A,0,C,A,N,_L_KG_030901_1,KG03,F,PER_100000_POP,2
2019,A,0,C,A,N,_L_KG_030901_1,KG03,F,PER_100000_POP,3
2007,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,4
2008,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,4
2009,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,10
2010,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,6
2011,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,6
2012,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,7
2015,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,2
2016,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,2
2017,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,10
2019,A,0,C,A,N,_L_KG_030901_1,KG03,M,PER_100000_POP,5
2007,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,28
2008,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,37
2009,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,25
2010,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,14
2011,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,18
2012,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,7
2013,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,15
2014,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,24
2015,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,2
2016,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,13
2017,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,10
2018,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,8
2019,A,0,C,A,N,_L_KG_030901_1,KG02,,PER_100000_POP,6
2007,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,14
2008,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,32
2009,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,9
2010,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,9
2011,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,13
2012,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,4
2013,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,9
2014,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,4
2016,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,13
2017,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,4
2019,A,0,C,A,N,_L_KG_030901_1,KG02,F,PER_100000_POP,4
2007,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,42
2008,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,42
2009,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,41
2010,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,18
2011,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,23
2012,A,0,C,A,N,_L_KG_030901_1,KG02,M,PER_100000_POP,9
