Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,10.5
2008,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,10.8
2009,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,9.1
2010,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,9.0
2011,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,8.0
2012,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,7.9
2013,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,6.4
2014,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,6.8
2015,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,7.0
2016,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,6.0
2017,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,5.9
2018,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,6.3
2019,A,0,C,A,N,SH_STA_POISN,KG,PER_100000_POP,5.5
2007,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,1.4
2008,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,2.8
2009,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.5
2010,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.0
2011,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,1.3
2012,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.5
2013,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.9
2014,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,2.1
2015,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,1.4
2016,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,1.2
2017,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.3
2018,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,1.2
2019,A,0,C,A,N,SH_STA_POISN,KG05,PER_100000_POP,3.4
2007,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,2.3
2008,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,1.4
2009,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,1.5
2010,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,2.4
2011,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,2.2
2012,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,2.4
2013,A,0,C,A,N,SH_STA_POISN,KG03,PER_100000_POP,2.2
