Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.1
2008,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.4
2009,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.0
2010,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.9
2011,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.0
2012,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.5
2013,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.5
2014,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,1.3
2015,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,1.6
2016,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.1
2017,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,2.0
2018,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,1.7
2019,A,0,C,A,N,_L_KG_060101_2B1,KG,PT,1.4
2007,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,10.6
2008,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,10.7
2009,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,9.5
2010,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,11.3
2011,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,12.7
2012,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,10.7
2013,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,8.4
2014,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,6.5
2015,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,7.7
2016,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,8.4
2017,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,8.1
2018,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,8.2
2019,A,0,C,A,N,_L_KG_060101_2B2,KG,PT,8.6
