Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,90.3
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Sulphur dioxide,Kilograms,75.5
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,17.0
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,48.4
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,49.8
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,52.3
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,61.5
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,49.9
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,47.1
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,47.1
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,60.7
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Carbon monoxide,Kilograms,48.0
2010,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,12.5
2011,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,15.4
2012,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,17.6
2013,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,17.3
2014,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,21.2
2015,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,20.0
2016,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,21.8
2017,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,19.5
2018,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,22.8
2019,Normal value,Units,Country Data,Annual,National,Pollutants emitted by stationary sources per km2,Kyrgyzstan,Pollutants: Nitrogen oxide ,Kilograms,25.5
