Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,Annual,National,Arable land,Kyrgyzstan,,Hectares,1280570
2016,Normal value,Units,Country Data,Annual,National,Arable land,Kyrgyzstan,,Hectares,1280570
2017,Normal value,Units,Country Data,Annual,National,Arable land,Kyrgyzstan,,Hectares,1287859
2018,Normal value,Units,Country Data,Annual,National,Arable land,Kyrgyzstan,,Hectares,1287810
2019,Normal value,Units,Country Data,Annual,National,Arable land,Kyrgyzstan,,Hectares,1287584
2015,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,,Hectares,89985
2016,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,,Hectares,81920
2017,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,,Hectares,74796
2018,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,,Hectares,67337
2019,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,,Hectares,63332
2015,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Salinization and waterlogging,Hectares,4958
2016,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Salinization and waterlogging,Hectares,3840
2017,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Salinization and waterlogging,Hectares,3288
2018,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Salinization and waterlogging,Hectares,3103
2019,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Salinization and waterlogging,Hectares,2792
2015,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,Hectares,13756
2016,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,Hectares,14039
2017,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,Hectares,11954
2018,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,Hectares,11774
2019,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,Cause of non-use: Lack of irrigation due to a malfunction of the irrigation network,Hectares,11105
2015,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",Hectares,394
2016,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",Hectares,352
2017,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",Hectares,1035
2018,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",Hectares,1539
2019,Normal value,Units,Country Data,Annual,National,Arable land for reasons of non-use,Kyrgyzstan,"Cause of non-use: Prone to natural disasters (landslides, mudslides)",Hectares,512
