Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,465
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,445
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,360
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,364
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,347
2019,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_RU,NUMBER,330
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_BY,NUMBER,3
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_BY,NUMBER,5
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_BY,NUMBER,2
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_BY,NUMBER,5
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_BY,NUMBER,2
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,1
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,5
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,5
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,5
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,5
2019,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_KZ,NUMBER,3
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_TJ,NUMBER,50
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_TJ,NUMBER,47
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_TJ,NUMBER,44
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_TJ,NUMBER,21
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_TJ,NUMBER,33
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,0
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,0
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,0
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,25
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,15
2019,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_CN,NUMBER,27
2014,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,0
2015,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,0
2016,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,0
2017,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,23
2018,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,27
2019,A,0,C,A,N,_L_KG_040B01_1,KG,_L_CNT_HU,NUMBER,67
