Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,17.5
2014,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,19.5
2015,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,19.9
2016,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,22.1
2017,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,23.5
2018,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,24.6
2019,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,,PT,25.4
2013,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,31.6
2014,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,32.3
2015,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,31.1
2016,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,32.3
2017,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,34.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,34.6
2019,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,U,PT,34.5
2013,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,10.8
2014,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,13.2
2015,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,14.2
2016,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,16.6
2017,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,17.9
2018,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,19.3
2019,A,0,C,A,N,_L_KG_040202_1A,KG,Y1T6,R,PT,20.6
2013,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,16.1
2014,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,19.6
2015,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,20.6
2016,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,23.9
2017,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,25.8
2018,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,26.3
2019,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,,PT,28.5
2013,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,33.3
2014,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,33.1
2015,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,30.5
2016,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,32.8
2017,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,33.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,34.0
2019,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,U,PT,42.7
2013,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,10.2
2014,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,14.6
2015,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,16.7
2016,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,20.5
2017,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,23.0
2018,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,23.3
2019,A,0,C,A,N,_L_KG_040202_1A,KG05,Y1T6,R,PT,23.8
2013,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,15.2
2014,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,15.5
2015,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,16.1
2016,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,18.7
2017,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,20.2
2018,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,21.8
2019,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,,PT,23.0
2013,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,27.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,28.5
2015,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,28.4
2016,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,30.6
2017,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,32.8
2018,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,35.0
2019,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,U,PT,37.8
2013,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,10.3
2014,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,11.8
2015,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,12.6
2016,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,15.1
2017,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,16.5
2018,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,18.0
2019,A,0,C,A,N,_L_KG_040202_1A,KG03,Y1T6,R,PT,18.9
2013,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,17.4
2014,A,0,C,A,N,_L_KG_040202_1A,KG02,Y1T6,,PT,18.8
