Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,COMMENT_OBS,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,,PT,,96.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,U,,,PT,,96.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,R,,,PT,,96.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG05,,,,PT,,99.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG03,,,,PT,,93.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG02,,,,PT,,99.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG04,,,,PT,,99.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG06,,,,PT,,99.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG07,,,,PT,,99.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG08,,,,PT,,91.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG11,,,,PT,,95.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG21,,,,PT,,96.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,ISCED11_1,PT,household head education,92.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,ISCED11_2,PT,household head education,94.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,ISCED11_3,PT,household head education,97.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,ISCED11_4,PT,household head education,96.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,,ISCED11_5,PT,household head education,95.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,Q1,,PT,,97.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,Q2,,PT,,95.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,Q3,,PT,,96.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,Q4,,PT,,96.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_SAN_SAFE,KG,,Q5,,PT,,95.7
