Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2000,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,60.521725
2001,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,77.154938
2002,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,51.354687
2003,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,55.244615
2004,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,48.2
2005,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,49.472402
2006,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,47.554172
2007,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,48.479985
2008,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,45.156055
2009,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,40.667524
2010,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,42.315954
2011,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,44.70876
2012,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,51.004239
2013,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,48.629898
2014,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,47.932099
2015,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,50.982902
2016,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,45.6165
2017,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,50.0267
2018,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,46.4
2019,A,0,C,A,N,SN_ITK_DEFC,KG,,PT,46.3
2000,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,69.472742
2001,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,84.06804
2002,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,67.700173
2003,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,59.23848
2004,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,49.4
2005,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,52.267834
2006,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,46.086276
2007,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,46.663125
2008,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,45.363642
2009,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,38.386768
2010,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,44.47285
2011,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,51.442437
2012,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,60.754126
2013,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,48.726107
2014,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,53.02
2015,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,58.534524
2016,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,48.6979
2017,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,55.5006
2018,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,51.6
2019,A,0,C,A,N,SN_ITK_DEFC,KG,U,PT,50.6
2000,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,55.809151
2001,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,73.452418
2002,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,42.634369
2003,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,53.092169
2004,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,48.1
2005,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,47.848938
2006,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,48.420366
2007,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,49.514891
2008,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,45.039446
2009,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,41.917619
2010,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,41.073296
2011,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,40.705385
2012,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,45.363875
2013,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,48.57992
2014,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,45.06
2015,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,46.84518
2016,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,43.9253
2017,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,47.0111
2018,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,43.5
2019,A,0,C,A,N,SN_ITK_DEFC,KG,R,PT,43.9
2000,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,59.339716
2001,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,61.621051
2002,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,36.961393
2003,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,42.329001
2004,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,37.049508
2005,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,53.54665
2006,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,47.900712
2007,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,30.186768
2008,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,37.443818
2009,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,48.591583
2010,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,42.666903
2011,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,44.064464
2012,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,50.49106
2013,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,62.932382
2014,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,53.56602
2015,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,49.799251
2016,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,52.9718
2017,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,52.4614
2018,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,54.6
2019,A,0,C,A,N,SN_ITK_DEFC,KG05,,PT,52.6
2000,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,59.287149
2001,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,81.005572
2002,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,42.498122
2003,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,57.011499
2004,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,51.655713
2005,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,61.433801
2006,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,52.669155
2007,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,61.234009
2008,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,51.475346
2009,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,34.357172
2010,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,45.552551
2011,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,41.458589
2012,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,56.178597
2013,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,55.445404
2014,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,54.779707
2015,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,55.904828
2016,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,48.1947
2017,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,41.1944
2018,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,44.0
2019,A,0,C,A,N,SN_ITK_DEFC,KG03,,PT,38.8
2000,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,65.030908
2001,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,78.831057
2002,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,60.063825
2003,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,52.018784
2004,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,40.999171
2005,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,46.03717
2006,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,49.877805
2007,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,50.802119
2008,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,54.861606
2009,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,44.383158
2010,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,43.452039
2011,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,41.044025
2012,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,36.987697
2013,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,39.824088
2014,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,42.638658
2015,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,46.284209
2016,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,45.0267
2017,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,51.7617
2018,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,49.4
2019,A,0,C,A,N,SN_ITK_DEFC,KG02,,PT,50.2
2000,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,69.421773
2001,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,83.854909
2002,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,61.635086
2003,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,56.394478
2004,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,64.607909
2005,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,41.085248
2006,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,44.647005
2007,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,54.995283
2008,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,46.270674
2009,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,45.332789
2010,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,53.95726
2011,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,55.074815
2012,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,50.991559
2013,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,49.875233
2014,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,54.149214
2015,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,50.007164
2016,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,52.6105
2017,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,41.3079
2018,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,42.5
2019,A,0,C,A,N,SN_ITK_DEFC,KG04,,PT,41.6
2000,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,61.998935
2001,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,79.954728
2002,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,54.70914
2003,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,61.826885
2004,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,55.635299
2005,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,53.173236
2006,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,61.102156
2007,A,0,C,A,N,SN_ITK_DEFC,KG06,,PT,57.709264
