Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,131.547158
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,120.913387
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,92.628335
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,127.019995
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,103.485746
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,104.494474
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,101.769602
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,113.857081
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,95.794976
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,94.980194
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,102.713332
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,97.394314
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Kyrgyzstan,Percent,105.744831
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,129.740223
2008,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,122.152556
2009,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,98.079552
2010,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,134.872599
2011,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,108.143261
2012,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,104.669453
2013,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,103.067841
2014,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,113.826871
2015,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,92.841081
2016,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,95.516291
2017,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,104.587578
2018,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,94.575897
2019,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Batken,Percent,110.412587
2007,Normal value,Units,Country Data,Annual,National,Consumer price index for food products,Jalal-Abad,Percent,131.474644
