Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,106.9
2008,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,108.3
2009,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,102.4
2010,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,98.4
2011,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,104.3
2012,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,98.8
2013,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,111.3
2014,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,101.4
2015,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,101.8
2016,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,105.7
2017,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,105.4
2018,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,103.6
2019,Normal value,Units,Country Data,Annual,National,Annual growth rate of real GDP per employed person,Kyrgyzstan,Percent,102.9
