Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2009,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,8.1
2010,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,10.0
2011,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,24.6
2012,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,11.2
2013,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,12.2
2014,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,51.1
2015,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,55.0
2016,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,74.4
2017,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,75.9
2018,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,84.9
2019,A,0,C,A,N,SE_PRE_PARTN,KG,Y0T5,PT,77.6
