Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2000,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,36000.0
2002,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,15000.0
2009,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,7150.0
2011,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,7200.0
2013,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,1950.0
2014,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,10400.0
2016,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,46950.0
2019,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan,USD,50000.0
2005,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,7200.0
2008,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,8700.0
2009,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,6500.0
2011,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,13860.0
2013,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,7350.0
2014,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,11185.0
2015,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,5772.3
2016,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment grant,USD,12402.5
2009,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,10000.0
2012,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,7000.0
2014,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,4890.0
2015,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,9100.0
2016,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,30100.0
2017,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,59930.0
2018,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,48020.0
2019,Normal value,Thousands,Country Data,Annual,National,Amount of water and sanitation-related official development assistance that is part of a governmentcoordinated spending plan,Kyrgyzstan,Type of assistance: Investment loan and grant,USD,24887.5
