Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,C,A,N,_L_KG_150301_1B,KG,,HA,1280570
2016,A,0,C,A,N,_L_KG_150301_1B,KG,,HA,1280570
2017,A,0,C,A,N,_L_KG_150301_1B,KG,,HA,1287859
2018,A,0,C,A,N,_L_KG_150301_1B,KG,,HA,1287810
2019,A,0,C,A,N,_L_KG_150301_1B,KG,,HA,1287584
2015,A,0,C,A,N,_L_KG_150301_1A,KG,,HA,89985
2016,A,0,C,A,N,_L_KG_150301_1A,KG,,HA,81920
2017,A,0,C,A,N,_L_KG_150301_1A,KG,,HA,74796
2018,A,0,C,A,N,_L_KG_150301_1A,KG,,HA,67337
2019,A,0,C,A,N,_L_KG_150301_1A,KG,,HA,63332
2015,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_SALIN_WAT,HA,4958
2016,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_SALIN_WAT,HA,3840
2017,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_SALIN_WAT,HA,3288
2018,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_SALIN_WAT,HA,3103
2019,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_SALIN_WAT,HA,2792
2015,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_LACK_IRR,HA,13756
2016,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_LACK_IRR,HA,14039
2017,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_LACK_IRR,HA,11954
2018,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_LACK_IRR,HA,11774
2019,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_LACK_IRR,HA,11105
2015,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_NAT_DIS,HA,394
2016,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_NAT_DIS,HA,352
2017,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_NAT_DIS,HA,1035
2018,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_NAT_DIS,HA,1539
2019,A,0,C,A,N,_L_KG_150301_1A,KG,_L_CSE_NAT_DIS,HA,512
