Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Observation-level footnotes,Value
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,,Percent,,19.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,Urban,,,Percent,,47.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,Rural,,,Percent,,3.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Batken,,,,Percent,,2.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Jalal-Abad,,,,Percent,,15.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Issyk-Kul,,,,Percent,,13.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Naryn,,,,Percent,,7.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Osh,,,,Percent,,1.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Talas,,,,Percent,,8.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Chui,,,,Percent,,11.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Bishkek (city),,,,Percent,,59.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Osh (city),,,,Percent,,32.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Primary education,Percent,Education of head houshold,6.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Lower secondary education,Percent,Education of head houshold,10.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Upper secondary education,Percent,Education of head houshold,11.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Post-secondary non-tertiary education,Percent,Education of head houshold,19.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,Education of head houshold,38.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 1 (poorest),,Percent,,1.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 2,,Percent,,2.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 3,,Percent,,6.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 4,,Percent,,9.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population with primary reliance on clean fuels and technology,Kyrgyzstan,,Quintile 5 (richest),,Percent,,76.9
