Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Economic activity,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,24810.5
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,36351.7
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,28331.0
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,36192.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Financial and insurance activities,Local currency,31556.2
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Financial and insurance activities,Local currency,41375.0
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,6003.0
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,7571.4
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,7520.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,8564.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,7942.1
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,9644.7
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,9733.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,10498.3
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,10921.3
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,12427.6
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,10633.5
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,12024.1
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,11195.2
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,13722.1
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,12556.1
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,13757.5
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Real estate activities,Local currency,14041.0
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Real estate activities,Local currency,14889.7
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,10690.0
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,15826.9
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,12009.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,16723.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,12487.8
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,16335.8
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,13570.4
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,19122.8
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,17195.1
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,14561.4
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,13596.0
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,17860.3
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,15840.4
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,25270.8
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,16417.0
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,22722.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Professional, scientific and technical activities",Local currency,18913.7
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Professional, scientific and technical activities",Local currency,26838.2
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,6066.8
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,7583.4
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,6684.2
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,8698.8
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,7577.1
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,9330.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,9014.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,11180.8
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,10734.0
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,11421.0
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,10033.8
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,11962.3
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,11458.3
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,12358.4
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,10579.6
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,13580.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Administrative and support service activities,Local currency,11667.4
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Administrative and support service activities,Local currency,13768.2
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,6571.7
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,9048.7
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,8196.1
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,10650.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,11594.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,13047.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,11765.2
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,14003.1
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,11975.8
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,14265.1
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,12925.8
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,15570.6
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,14505.9
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,17176.2
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,15652.5
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,18079.9
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Public administration and defence; compulsory social security,Local currency,15487.8
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Public administration and defence; compulsory social security,Local currency,17500.0
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,7361.5
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,8726.2
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,7317.6
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,8140.4
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,7214.6
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,8411.4
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,7681.8
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,8499.4
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,9970.8
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,10479.7
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,10536.7
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,10653.3
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,10748.5
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,11155.5
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,10691.4
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,11006.4
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Education,Local currency,13319.0
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Education,Local currency,13163.0
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,9256.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9584.5
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,8892.0
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9914.5
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,8994.9
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,8690.3
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,8966.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9027.6
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,9394.4
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9319.0
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,9771.3
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9519.9
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,9927.4
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9677.7
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,10481.8
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,9584.5
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Human health and social work activities,Local currency,11152.8
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Human health and social work activities,Local currency,10385.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,6350.6
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,7746.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,6399.4
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,6702.8
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,7565.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8250.6
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,7696.6
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8975.0
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,8553.4
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,9292.3
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,8752.3
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8221.4
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,8451.0
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8179.0
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,8799.2
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8061.2
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Arts, entertainment and recreation",Local currency,8886.7
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Arts, entertainment and recreation",Local currency,8964.4
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,8458.9
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,8192.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,8608.0
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,8232.4
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,9771.5
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,9269.2
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,11030.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,10565.2
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,12707.0
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,12664.0
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,15307.4
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,14474.7
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,18606.6
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,19061.7
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,17807.6
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,11649.5
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Other service activities,Local currency,18437.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Other service activities,Local currency,12252.4
