Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Economic activity,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Electricity, gas, steam and air conditioning supply",Local currency,23702.8
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Electricity, gas, steam and air conditioning supply",Local currency,24212.7
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Electricity, gas, steam and air conditioning supply",Local currency,24394.9
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Electricity, gas, steam and air conditioning supply",Local currency,24266.4
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Electricity, gas, steam and air conditioning supply",Local currency,24855.0
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Electricity, gas, steam and air conditioning supply",Local currency,26772.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Electricity, gas, steam and air conditioning supply",Local currency,28936.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Electricity, gas, steam and air conditioning supply",Local currency,29039.9
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,7097.9
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,8512.1
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,7874.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,9348.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,8309.5
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,10479.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,8752.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,12181.5
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,9335.7
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,11772.3
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,10668.2
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,12166.8
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,11217.0
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,13276.3
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,11809.7
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,14015.9
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,"Water supply; sewerage, waste management and remediation activities",Local currency,14491.6
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,"Water supply; sewerage, waste management and remediation activities",Local currency,14979.6
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,7461.7
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,9692.9
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,8708.8
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,10047.4
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,10101.0
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,10554.2
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,8990.4
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,11811.2
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,8991.5
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,11689.2
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,11706.6
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,14730.1
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,14489.9
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,16612.5
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,13824.4
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,16640.2
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Construction,Local currency,15478.4
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Construction,Local currency,20339.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,10848.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,13252.0
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,10912.9
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,14999.1
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,11559.5
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,15591.8
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,13767.4
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,17200.5
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,12455.4
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,15170.8
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,14647.7
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,17360.8
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,14808.3
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,16556.2
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,16022.1
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,17624.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,16246.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Wholesale and retail trade; repair of motor vehicles and motorcycles,Local currency,19132.8
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,9395.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,12164.4
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,10325.0
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,15698.9
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,11036.2
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,17090.7
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,13857.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,21369.2
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,14205.6
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,22780.0
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,13837.2
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,22726.5
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,16074.1
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,25482.6
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,14876.6
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,25678.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Transportation and storage,Local currency,15182.1
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Transportation and storage,Local currency,24925.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,7487.3
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,10371.4
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,10012.7
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,10772.3
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,9877.6
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,11218.6
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,9314.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,12369.8
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,9799.1
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,12729.2
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,9837.6
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,13681.8
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,11401.1
2017,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,11978.9
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,12791.0
2018,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,15929.9
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Accommodation and food service activities,Local currency,14685.6
2019,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Accommodation and food service activities,Local currency,17239.9
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,14988.1
2011,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,19715.7
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,15828.9
2012,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,21524.7
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,18211.4
2013,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,24850.9
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,18929.5
2014,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,24702.2
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,19306.4
2015,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,28211.8
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Female,Information and communication,Local currency,27087.6
2016,Normal value,Units,Country Data,Annual,National,Average monthly wages ,Kyrgyzstan,Male,Information and communication,Local currency,24422.4
