Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,COMPOSITE_BREAKDOWN,Disability status,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,Primary education,,,Percent,33.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,Lower secondary education,,,Percent,28.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,Upper secondary education,,,Percent,29.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,Post-secondary non-tertiary education,,,Percent,24.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,,Percent,23.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,,,Child with disability,Percent,34.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,,,,Child without disability,Percent,25.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,Quintile 1 (poorest),,,,Percent,32.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,Quintile 2,,,,Percent,30.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,Quintile 3,,,,Percent,31.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,Quintile 4,,,,Percent,28.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children engaged in economic activity and household chores,Kyrgyzstan,,,,Quintile 5 (richest),,,,Percent,6.1
