Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,1037.0
2014,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,778.0
2015,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,507.0
2016,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,616.0
2017,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,490.0
2018,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,400.0
2019,Normal value,Units,Country Data,Annual,National,"Rate of net change in forest area per year, ha",Kyrgyzstan,Kilograms,412.0
2013,Normal value,Units,Country Data,Annual,National,Above-ground biomass in forest per hectare (tonnes per hectare),Kyrgyzstan,Kilograms,26.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of forest area within legally established protected areas,Kyrgyzstan,Kilograms,5.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,74.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,76.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,78.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,79.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,81.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of forest area with a long-term management plan,Kyrgyzstan,Kilograms,82.6
