Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.006
2009,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.1
2010,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.003
2012,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.003
2013,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,1.7
2014,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.8
2015,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,1.0
2016,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.03
2017,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.1
2018,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.0002
2019,A,0,C,A,N,_L_KG_070B01_1A,KG,PT,0.026567
