Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7562.0
2011,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,8634.0
2012,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,9544.4
2013,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,8326.8
2014,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7658.0
2015,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7569.0
2016,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7333.7
2017,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7657.8
2018,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,7758.0
2019,A,0,C,A,N,_L_KG_060402_1,KG,,M_M3_PER_YR,8068.7
2012,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,9319.3
2013,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,8218.9
2014,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7432.4
2015,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7225.2
2016,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7125.0
2017,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7433.2
2018,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7513.0
2019,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_NATURAL,M_M3_PER_YR,7813.9
2010,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,324.1
2011,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,201.3
2012,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,224.9
2013,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,107.9
2014,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,225.6
2015,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,343.8
2016,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,208.7
2017,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,224.6
2018,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,245.0
2019,A,0,C,A,N,_L_KG_060402_1,KG,_L_WS_AQUIFER,M_M3_PER_YR,254.8
2010,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,577.7
2011,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,586.7
2012,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,570.2
2013,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,967.7
2014,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,615.1
2015,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,643.1
2016,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,645.2
2017,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,632.8
2018,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,647.7
2019,A,0,C,A,N,_L_KG_060402_1,KG05,,M_M3_PER_YR,663.1
2010,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,695.2
2011,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,1197.2
2012,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,716.6
2013,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,716.6
2014,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,781.4
2015,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,985.7
2016,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,948.9
2017,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,936.2
2018,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,926.6
2019,A,0,C,A,N,_L_KG_060402_1,KG03,,M_M3_PER_YR,1012.6
2010,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,555.3
2011,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,905.6
2012,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,966.4
2013,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,628.3
2014,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,628.5
2015,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,578.9
2016,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,524.6
2017,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,623.7
2018,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,621.1
2019,A,0,C,A,N,_L_KG_060402_1,KG02,,M_M3_PER_YR,635.0
2010,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,592.3
2011,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,590.7
2012,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,636.4
2013,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,644.2
2014,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,607.7
2015,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,620.5
2016,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,607.7
2017,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,614.8
2018,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,642.3
2019,A,0,C,A,N,_L_KG_060402_1,KG04,,M_M3_PER_YR,658.5
2010,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1290.3
2011,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1160.5
2012,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1439.2
2013,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1392.6
2014,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1133.0
2015,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1190.1
2016,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1125.2
2017,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1183.5
2018,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1144.2
2019,A,0,C,A,N,_L_KG_060402_1,KG06,,M_M3_PER_YR,1180.8
2010,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,828.8
2011,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,884.7
2012,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,904.0
2013,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,938.2
2014,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,882.9
2015,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,1011.8
2016,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,944.0
2017,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,991.6
2018,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,963.3
2019,A,0,C,A,N,_L_KG_060402_1,KG07,,M_M3_PER_YR,1021.3
2010,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2803.6
2011,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,3138.1
2012,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,4140.0
2013,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,3039.3
2014,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2833.6
2015,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2368.2
2016,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2367.9
2017,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2500.5
2018,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2634.0
2019,A,0,C,A,N,_L_KG_060402_1,KG08,,M_M3_PER_YR,2707.0
2010,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,135.9
2011,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,113.4
2012,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,114.5
2013,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,115.7
2014,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,118.8
2015,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,113.7
2016,A,0,C,A,N,_L_KG_060402_1,KG11,,M_M3_PER_YR,113.2
