Value,Disaggregation combinations using this value,Number of indicators
"According to Multiple Indicator Cluster Survey, 2018",155,7
"According to Multiple Indicator Cluster Survey, 2018.",40,1
"According to the cluster survey for many indicators, 2018.",33,1
according to the MES KR,10,1
*according to the MF of the KR,1,1
*according to the MIA of the KR,20,1
*according to the NBKR,2,1
*according to the SAEPF,1,1
*according to the SCITC KR,6,2
Buses,12,1
* Integrated sample survey of household budgets and labor.,17,1
*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,108,4
"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",10,1
"По данным кластерного обследования по многим показателям, 2018г.",25,1
* по данным МФ КР,8,1
"*Without government bodies providing defense, public order and security",9,1
