Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Plants and mushrooms,Percent,1.07
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.3
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Mammals,Percent,25.27
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Birds,Percent,14.0
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Insects,Percent,0.12
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.7
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Amphibians and Reptiles,Percent,21.74
2013,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2014,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2015,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2016,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2017,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2018,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.5
2019,Normal value,Units,Country Data,Annual,National,Share of Red Book species from all species of corresponding class,Kyrgyzstan,Species: Fish,Percent,9.46
