Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,,,,,,Percent,7.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,,Urban,,,,Percent,7.9
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,,Rural,,,,Percent,7.6
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Batken,Female,,,,,,Percent,0.4
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Jalal-Abad,Female,,,,,,Percent,7.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Issyk-Kul,Female,,,,,,Percent,1.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Naryn,Female,,,,,,Percent,2.8
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Osh,Female,,,,,,Percent,6.5
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Talas,Female,,,,,,Percent,5.0
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Chui,Female,,,,,,Percent,16.6
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Bishkek (city),Female,,,,,,Percent,8.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Osh (city),Female,,,,,,Percent,7.0
