Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.48
2013,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.58
2014,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.58
2015,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.69
2016,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.84
2017,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,4.84
2018,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,6.51
2019,Normal value,Units,Country Data,Annual,National,Protected areas as a share of the country's surface,Kyrgyzstan,Percent,6.53
