Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Economic activity,UNIT_MEASURE,Value
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",866200.6
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",660949.3
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",666086.0
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",849201.1
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",590733.3
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",964507.1
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",727091.2
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",1573243.7
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",813960.7
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",616793.1
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",851743.6
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,,"Per 1,000 USD",1076918.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",583.5904
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",17.6
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",2.7
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",3.5
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",2045.7
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",345.0
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",316.2
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",210.9
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",21.8
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",2327.6
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Agriculture, forestry and fishing","Per 1,000 USD",149.1
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",7500.0
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",6375.7
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",1028.4
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",26460.8
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",25677.7
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",23151.8
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",74973.3
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",14727.5
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",54302.3
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",80995.2
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",91845.7
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Mining and quarrying,"Per 1,000 USD",99480.9
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",237437.7
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",153569.3
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",331386.7
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",489551.4
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",257259.1
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",317742.6
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",271250.0
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",564715.3
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",251234.3
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",186333.7
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",376441.7
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,Manufacturing,"Per 1,000 USD",340804.6
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",20.5
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",15.1
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",16200.5
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",43580.9
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",136704.8
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",122246.9
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",79828.6
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",15830.6
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Electricity, gas, steam and air conditioning supply","Per 1,000 USD",10595.7
2008,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",1282.893
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",311.0
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",17.0
2011,Normal value,Units,Country Data,Annual,National,Foreign direct investment by economic activity,Kyrgyzstan,"Water supply; sewerage, waste management and remediation activities","Per 1,000 USD",23.9
