Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,8.6
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,8.3
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,8.0
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,7.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,7.2
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,6.9
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,6.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,,Percent,5.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,9.9
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,9.7
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,9.5
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,9.0
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,8.7
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,8.9
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,6.9
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Male,,Percent,6.2
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,7.7
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,7.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,7.0
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,6.5
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,6.2
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,5.6
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,5.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,Female,,Percent,5.0
