Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,10.6
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,12.7
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,12.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,10.9
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,10.2
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,9.9
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,9.0
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,,,Percent,8.2
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,15.8
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,18.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,18.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,16.5
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,15.3
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,16.0
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,12.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Male,,Percent,11.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,7.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,9.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,9.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,7.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,7.1
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,6.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,7.3
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Batken,Female,,Percent,6.7
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,7.8
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,8.2
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,7.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,7.7
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,7.5
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,7.2
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,6.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,,,Percent,5.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,8.9
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,10.3
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,10.0
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,9.9
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,10.3
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,10.5
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,9.1
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Male,,Percent,7.9
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,7.1
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,6.7
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,6.0
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,6.1
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,5.8
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,5.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,4.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Jalal-Abad,Female,,Percent,4.2
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,10.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,9.5
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,9.3
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,9.1
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,8.9
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,8.7
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,8.4
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,,,Percent,7.8
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,10.1
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,9.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,10.1
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,9.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,8.5
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,8.0
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,4.9
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Male,,Percent,4.9
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,10.3
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,9.5
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,8.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,8.7
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,9.1
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,9.0
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,10.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Issyk-Kul,Female,,Percent,9.4
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,10.3
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,9.1
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,9.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,9.3
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,9.0
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,8.8
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,8.8
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,,,Percent,8.3
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,14.7
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,14.2
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,15.4
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,13.7
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,14.6
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,12.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,15.0
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Male,,Percent,11.1
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,8.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,6.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,7.4
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,7.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,6.6
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,7.1
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,6.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Naryn,Female,,Percent,7.1
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,6.61
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,6.3
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,6.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,6.0
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,5.5
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,5.1
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,4.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,,,Percent,3.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.8
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.3
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.7
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.1
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,7.7
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,6.6
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Male,,Percent,4.3
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,5.9
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,5.6
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,6.0
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,4.8
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,4.4
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,3.5
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,2.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh,Female,,Percent,3.0
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,5.1
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,3.7
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,3.9
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,3.3
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,2.8
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,2.5
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,2.5
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,,,Percent,2.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,5.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,4.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,6.5
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,5.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,5.0
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,4.6
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,3.6
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Male,,Percent,3.6
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,4.9
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,2.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,1.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,1.3
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,1.2
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,0.9
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,1.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Talas,Female,,Percent,1.8
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,10.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,9.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,8.9
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,8.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,8.4
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,8.1
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,7.3
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,,,Percent,6.6
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,11.4
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,10.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,9.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,8.2
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,8.9
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,9.1
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,7.4
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Male,,Percent,7.4
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,9.3
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,9.1
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,8.4
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,8.9
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,8.0
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,7.4
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,7.3
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Chui,Female,,Percent,6.1
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,10.0
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,9.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,8.9
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,8.1
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,7.7
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,7.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,6.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),,,Percent,5.9
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,10.6
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,9.7
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,9.5
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,8.4
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,7.6
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,7.9
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,5.0
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Male,,Percent,5.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,9.5
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,9.3
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,8.4
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,7.7
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,7.8
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,6.7
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,8.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Bishkek (city),Female,,Percent,6.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,4.6
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,4.2
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,3.9
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,3.6
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,3.5
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,3.0
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),,,Percent,2.5
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,3.8
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,5.2
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,5.6
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,6.3
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,4.5
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,3.5
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Male,,Percent,4.4
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,5.0
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,3.8
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,3.1
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,2.5
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,3.0
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,2.7
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Osh (city),Female,,Percent,1.5
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,19.1
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,16.2
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,17.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,17.3
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,19.9
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,18.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,13.9
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,15 to 19 years old,Percent,13.9
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,12.4
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,10.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,10.2
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,10.5
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,10.4
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,10.2
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,9.5
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,20 to 29 years old,Percent,9.3
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,6.2
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,7.2
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,6.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,6.2
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,5.9
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,5.4
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,4.6
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,30 to 39 years old,Percent,4.0
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,5.9
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,6.4
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,6.7
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,5.8
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,5.3
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,5.3
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,4.3
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,40 to 49 years old,Percent,3.6
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,4.8
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,6.1
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,5.1
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,4.2
2016,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,3.5
2017,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,3.8
2018,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,4.2
2019,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,50 to 59 years old,Percent,3.1
2010,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,2.3
2013,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,3.2
2014,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,2.6
2015,Normal value,Units,Country Data,Annual,National,Unemployment rate,Kyrgyzstan,,60 to 69 years old,Percent,2.8
