Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,2.2
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,2.2
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,2.1
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.9
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.8
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.7
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.8
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.7
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.7
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Kyrgyzstan,Hectares,1.5
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.4
2011,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.4
2012,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.3
2013,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.3
2014,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.3
2015,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.1
2016,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.1
2017,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.1
2018,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.2
2019,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Batken,Hectares,0.2
2010,Normal value,Units,Country Data,Annual,National,Area of green spaces in localities per 1 000 people,Jalal-Abad,Hectares,1.1
