Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7562.0
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,8634.0
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,9544.4
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,8326.8
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7658.0
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7569.0
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7333.7
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7657.8
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,7758.0
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,,Million of cubic metres per annum,8068.7
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,9319.3
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,8218.9
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7432.4
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7225.2
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7125.0
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7433.2
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7513.0
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Natural,Million of cubic metres per annum,7813.9
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,324.1
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,201.3
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,224.9
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,107.9
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,225.6
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,343.8
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,208.7
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,224.6
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,245.0
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Kyrgyzstan,Water source: Aquifers,Million of cubic metres per annum,254.8
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,577.7
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,586.7
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,570.2
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,967.7
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,615.1
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,643.1
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,645.2
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,632.8
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,647.7
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Batken,,Million of cubic metres per annum,663.1
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,695.2
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,1197.2
2012,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,716.6
2013,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,716.6
2014,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,781.4
2015,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,985.7
2016,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,948.9
2017,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,936.2
2018,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,926.6
2019,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Jalal-Abad,,Million of cubic metres per annum,1012.6
2010,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,555.3
2011,Normal value,Units,Country Data,Annual,National,Freshwater withdrawal,Issyk-Kul,,Million of cubic metres per annum,905.6
