Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation-level footnotes,Value
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,5.343817
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,4.545729
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,4.39021
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,2.752053
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,1.204544
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,1.2463
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,0.799505
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,0.751264
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,0.556849
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,,Percent,,0.549336
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,4.216863
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,2.571393
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,4.245304
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,1.622593
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,1.335253
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,1.0364
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,0.329939
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,0.317022
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,0.240359
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Urban,Percent,,0.1
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,5.993092
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,5.719532
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,4.47404
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,3.33877
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,1.130705
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,1.3613
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,1.057232
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,0.990494
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,0.732878
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Kyrgyzstan,Rural,Percent,,0.8
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,5.18088
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,3.571253
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,2.429822
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,7.992058
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,2.647398
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,4.007
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,0.321124
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,3.394136
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,0.873006
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Batken,,Percent,,0.339267
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,6.438032
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,6.655419
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,14.126083
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,1.418157
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,1.062056
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,0.4774
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,0.111076
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,0.0
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,1.011691
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Jalal-Abad,,Percent,,0.56205
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,2.478727
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,1.507294
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,0.131147
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,1.90587
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,0.0
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,0.4111
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,0.0
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,1.036888
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,0.892297
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Issyk-Kul,,Percent,,1.260497
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,12.036462
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,14.690827
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,2.457117
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,4.860417
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,1.817409
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,2.0588
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,2.566585
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,1.953766
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,2.178191
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Naryn,,Percent,,2.481629
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,including Osh city,8.333149
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,including Osh city,3.687421
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,including Osh city,2.296706
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,including Osh city,4.01137
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,0.423402
2015,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,1.1879
2016,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,0.828248
2017,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,0.0
2018,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,0.0
2019,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Osh,,Percent,,0.880799
2010,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,5.012294
2011,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,8.439018
2012,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.904811
2013,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
2014,Normal value,Units,Country Data,Annual,National,Extreme poverty rate,Talas,,Percent,,0.0
