Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,Male,,,,Number,616
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,Male,,,,Number,486
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,126
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,212
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,37
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,92
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,73
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,100
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,134
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,533
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,394
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,250
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,under 20 years old,,,Number,561
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,738
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,634
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,476
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,654
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,678
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,837
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,1054
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,2085
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,1888
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,2108
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,21 to 30 years old,,,Number,1879
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,762
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,31 to 40 years old,,,Number,552
