Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2010,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,8.6
2013,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,8.3
2014,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,8.0
2015,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,7.6
2016,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,7.2
2017,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,6.9
2018,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,6.2
2019,A,0,C,A,N,SL_TLF_UEM,KG,,,PT,5.5
2010,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,9.9
2013,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,9.7
2014,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,9.5
2015,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,9.0
2016,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,8.7
2017,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,8.9
2018,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,6.9
2019,A,0,C,A,N,SL_TLF_UEM,KG,M,,PT,6.2
2010,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,7.7
2013,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,7.4
2014,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,7.0
2015,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,6.5
2016,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,6.2
2017,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,5.6
2018,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,5.7
2019,A,0,C,A,N,SL_TLF_UEM,KG,F,,PT,5.0
2010,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,10.6
2013,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,12.7
2014,A,0,C,A,N,SL_TLF_UEM,KG05,,,PT,12.6
