Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,101.9
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,98.1
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,99.5
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,98.9
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,97.5
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,96.9
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,98.7
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,100.4
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,102.2
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF01,PT,101.9
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,62.9
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,98.4
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,99.4
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,95.7
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,84.8
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,94.8
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,165.3
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,94.9
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,80.1
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF04,PT,105.5
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,94.5
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,99.2
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,99.9
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,91.7
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,98.7
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,93.6
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,70.4
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,101.9
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,111.5
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF05,PT,104.4
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,98.8
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,96.3
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,100.0
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,98.2
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,99.5
2015,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,95.0
2016,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,32.5
2017,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,136.5
2018,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,132.3
2019,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF06,PT,141.7
2010,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,99.8
2011,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,98.8
2012,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,99.6
2013,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,97.3
2014,A,0,C,* по данным МФ КР,A,N,GF_XPD_GBPC,KG,_L_COFOG_GF07,PT,96.2
