Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.3
2014,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.2
2015,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.1
2016,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.1
2017,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.1
2018,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.1
2019,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_GAR_CH,PT,0.0
2013,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,26.9
2014,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,27.7
2015,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,30.6
2016,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,31.3
2017,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,38.8
2018,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,44.0
2019,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_COL_TR,PT,46.9
2013,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,21.6
2014,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,23.4
2015,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,29.0
2016,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,22.4
2017,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,21.8
2018,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,20.2
2019,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_DUM_GAR,PT,20.2
2013,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,33.0
2014,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,31.8
2015,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,29.8
2016,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,32.9
2017,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,28.6
2018,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,25.6
2019,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURN,PT,24.0
2013,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,18.2
2014,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,16.9
2015,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,10.6
2016,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,13.4
2017,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,10.9
2018,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,10.0
2019,A,0,C,A,N,_L_KG_110601_1A,KG,_L_WR_BURYING,PT,8.9
