Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,COMMENT_OBS,Value
2017,A,0,C,A,N,_L_KG_060201_1,KG06,PT,,0.0
2018,A,0,C,A,N,_L_KG_060201_1,KG06,PT,,0.5
2019,A,0,C,A,N,_L_KG_060201_1,KG06,PT,,1.7
2011,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,9.0
2012,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,7.8
2013,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,5.1
2014,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,5.5
2015,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,6.5
2016,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,6.5
2017,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,6.1
2018,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,6.0
2019,A,0,C,A,N,_L_KG_060201_1,KG07,PT,,6.2
2011,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,41.9
2012,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,46.1
2013,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,46.2
2014,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,49.2
2015,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,48.7
2016,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,51.0
2017,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,48.9
2018,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,56.8
2019,A,0,C,A,N,_L_KG_060201_1,KG08,PT,,63.3
2011,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,84.6
2012,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,85.1
2013,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,98.6
2014,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,99.4
2015,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,98.6
2016,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,99.7
2017,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,97.4
2018,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,96.5
2019,A,0,C,A,N,_L_KG_060201_1,KG11,PT,,96.1
2013,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,28.7
2014,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,27.9
2015,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,28.2
2016,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,29.5
2017,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,25.4
2018,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,25.5
2019,A,0,C,A,N,_L_KG_060201_1,KG21,PT,,30.9
