Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_010A02_1,KG,PT,43.1
2008,A,0,C,A,N,_L_KG_010A02_1,KG,PT,41.5
2009,A,0,C,A,N,_L_KG_010A02_1,KG,PT,39.0
2010,A,0,C,A,N,_L_KG_010A02_1,KG,PT,42.8
2011,A,0,C,A,N,_L_KG_010A02_1,KG,PT,45.3
2012,A,0,C,A,N,_L_KG_010A02_1,KG,PT,47.1
2013,A,0,C,A,N,_L_KG_010A02_1,KG,PT,51.6
2014,A,0,C,A,N,_L_KG_010A02_1,KG,PT,47.6
2015,A,0,C,A,N,_L_KG_010A02_1,KG,PT,46.8
2016,A,0,C,A,N,_L_KG_010A02_1,KG,PT,45.3
2017,A,0,C,A,N,_L_KG_010A02_1,KG,PT,45.3
2018,A,0,C,A,N,_L_KG_010A02_1,KG,PT,48.9
2019,A,0,C,A,N,_L_KG_010A02_1,KG,PT,49.2
2007,A,0,C,A,N,SD_XPD_ESED,KG,PT,22.4
2008,A,0,C,A,N,SD_XPD_ESED,KG,PT,21.4
2009,A,0,C,A,N,SD_XPD_ESED,KG,PT,19.6
2010,A,0,C,A,N,SD_XPD_ESED,KG,PT,17.4
2011,A,0,C,A,N,SD_XPD_ESED,KG,PT,19.9
2012,A,0,C,A,N,SD_XPD_ESED,KG,PT,20.2
2013,A,0,C,A,N,SD_XPD_ESED,KG,PT,20.8
2014,A,0,C,A,N,SD_XPD_ESED,KG,PT,18.5
2015,A,0,C,A,N,SD_XPD_ESED,KG,PT,18.9
2016,A,0,C,A,N,SD_XPD_ESED,KG,PT,20.0
2017,A,0,C,A,N,SD_XPD_ESED,KG,PT,19.4
2018,A,0,C,A,N,SD_XPD_ESED,KG,PT,21.1
2019,A,0,C,A,N,SD_XPD_ESED,KG,PT,21.4
2007,A,0,C,A,N,SG_XPD_HLTH,KG,PT,10.2
2008,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.8
2009,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.9
2010,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.3
2011,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.9
2012,A,0,C,A,N,SG_XPD_HLTH,KG,PT,10.6
2013,A,0,C,A,N,SG_XPD_HLTH,KG,PT,11.3
2014,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.9
2015,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.5
2016,A,0,C,A,N,SG_XPD_HLTH,KG,PT,8.8
2017,A,0,C,A,N,SG_XPD_HLTH,KG,PT,9.7
2018,A,0,C,A,N,SG_XPD_HLTH,KG,PT,8.6
2019,A,0,C,A,N,SG_XPD_HLTH,KG,PT,8.3
2007,A,0,C,A,N,SG_XPD_PROT,KG,PT,10.5
2008,A,0,C,A,N,SG_XPD_PROT,KG,PT,10.3
2009,A,0,C,A,N,SG_XPD_PROT,KG,PT,9.5
2010,A,0,C,A,N,SG_XPD_PROT,KG,PT,16.1
2011,A,0,C,A,N,SG_XPD_PROT,KG,PT,15.5
2012,A,0,C,A,N,SG_XPD_PROT,KG,PT,16.3
2013,A,0,C,A,N,SG_XPD_PROT,KG,PT,19.5
2014,A,0,C,A,N,SG_XPD_PROT,KG,PT,19.2
2015,A,0,C,A,N,SG_XPD_PROT,KG,PT,18.4
2016,A,0,C,A,N,SG_XPD_PROT,KG,PT,16.5
2017,A,0,C,A,N,SG_XPD_PROT,KG,PT,16.2
2018,A,0,C,A,N,SG_XPD_PROT,KG,PT,19.1
2019,A,0,C,A,N,SG_XPD_PROT,KG,PT,19.5
