Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.102468
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.657422
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.037073
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.234561
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.328649
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.297902
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.062089
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.113728
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.532092
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.21124
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.193675
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.21
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Kyrgyzstan,Percent,0.052302
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.358951
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,2.126272
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.403899
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.333138
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,4.307812
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,1.956574
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.02969
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.25113
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,3.438047
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,2.2105
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.753563
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,1.04
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Batken,Percent,0.113897
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.412118
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.136994
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.015857
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,1.154719
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.453264
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,1.016425
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.101309
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.072479
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.172868
2016,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.441517
2017,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.196222
2018,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.11
2019,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Jalal-Abad,Percent,0.23463
2007,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.003239
2008,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.003293
2009,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.034457
2010,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.001692
2011,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.012271
2012,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.112102
2013,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.148306
2014,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.685858
2015,Normal value,Units,Country Data,Annual,National,Direct economic loss attributed to disasters relative to GDP,Issyk-Kul,Percent,0.015296
