Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.006
2009,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.1
2010,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.003
2012,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.003
2013,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,1.7
2014,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.8
2015,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,1.0
2016,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.03
2017,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.1
2018,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.0002
2019,Normal value,Units,Country Data,Annual,National,Foreign direct investment for the expansion of energy infrastructure and modernization of technologies,Kyrgyzstan,Percent,0.026567
